Question,Answer
"¿Cuál es la duración total del curso?","30 horas."
"¿Qué nivel tiene el curso?","Nivel Avanzado."
"¿Cuándo es la primera sesión del taller?","El miércoles 22 de octubre, de 4:00 p.m. a 7:00 p.m."
"¿Quién imparte la primera sesión sobre 'Arquitecturas y APIs'?","Luis Daniel Benavides."
"¿Qué se debe generar en la primera sesión?","Una Guía PDF con pasos de instalación y configuración + script de conexión a API."
"¿Quién es el profesor del Módulo 3 'Automatización docente'?","Marcelo Sotaminga."
"¿En qué fecha se ve la actividad 'Bot con RAG'?","El miércoles 29 de octubre."
"¿La sesión de 'Bot con RAG' es una práctica guiada?","Sí, es una práctica guiada."
"¿Qué material se debe generar para la actividad 'Bot con RAG'?","Un script o notebook con implementación básica de RAG y dataset de materiales del curso."
"¿Qué plataforma se sugiere para el 'Chatbot con FAQ'?","Una plataforma libre, por ejemplo, Botpress."
"¿Cuándo es la sesión de 'Calificación automática'?","El lunes 10 de noviembre, de 11:30 a.m. a 1:00 p.m."
"¿Qué profesor imparte la sesión del 12 de noviembre?","Juan Carlos Correa."
"¿Cuál es la actividad de la semana 4 (12 de noviembre)?","Versionado de material didáctico."
"¿Qué tipo de actividad es el 'Versionado de material didáctico'?","Es un trabajo autónomo."
"¿Cuál es el tema del Módulo 4?","Analítica de aprendizaje."
"¿Cuándo se realiza la actividad 'Análisis de datos educativos'?","El miércoles 19 de noviembre."
"¿Quién imparte el 'Modelo predictivo de riesgo'?","Javier Chaparro."
"¿En cuántas sesiones se divide la actividad 'Modelo predictivo de riesgo'?","En dos sesiones: el lunes 24 de noviembre y el miércoles 26 de noviembre."
"¿Cuándo inicia el 'Proyecto integrador'?","El lunes 01 de diciembre."
"¿Qué tipo de actividad es el 'Proyecto integrador'?","Es un trabajo autónomo supervisado."
"¿Quiénes supervisan el proyecto integrador?","Marcelo Sotaminga y Eduardo Carillo."
"¿Qué se debe entregar para el proyecto integrador?","Un prototipo funcional en repositorio Git o carpeta compartida con documentación."
"¿Cuándo es la presentación final?","El miércoles 10 de diciembre, de 4:00 p.m. a 7:00 p.m."
"¿Qué formato tiene la presentación final?","Es una exposición."
"¿Cuál es el entregable de la presentación final?","Una demo funcional más un documento de memoria técnica con objetivos, desarrollo y resultados."
